"route","stop_name","average_min_delay","average_boarding_rate"
"CR-Fairmount","Blue Hill Avenue","9.836400941897695","N/A"
"CR-Fairmount","Fairmount","10.10500409709074","10.555555555555555"
"CR-Fairmount","Four Corners/Geneva","8.015049759954898","N/A"
"CR-Fairmount","Morton Street","7.803345143994795","5.15625"
"CR-Fairmount","Newmarket","12.521940446679956","1.9230769230769231"
"CR-Fairmount","Readville","16.05431957927578","11.689655172413794"
"CR-Fairmount","South Station","13.605934841910893","41.27272727272727"
"CR-Fairmount","Talbot Avenue","9.27842305350385","5.325"
"CR-Fairmount","Uphams Corner","7.068387665519158","3.2580645161290325"
"CR-Fitchburg","Ayer","5.018680405982556","9.333333333333334"
"CR-Fitchburg","Belmont","4.970459462825536","4.47457627118644"
"CR-Fitchburg","Brandeis/Roberts","5.6135278722600175","13.142857142857142"
"CR-Fitchburg","Concord","5.566776652533691","11.469696969696969"
"CR-Fitchburg","Fitchburg","4.559729904612601","13.045454545454545"
"CR-Fitchburg","Kendal Green","5.8756624786244345","3.5737704918032787"
"CR-Fitchburg","Lincoln","5.831562345423162","7.276923076923077"
"CR-Fitchburg","Littleton/Route 495","5.828517492493694","11.35483870967742"
"CR-Fitchburg","North Leominster","4.6944833845007565","7.533333333333333"
"CR-Fitchburg","North Station","11.53947365058796","145.13888888888889"
"CR-Fitchburg","Porter","6.5422587298042245","42.833333333333336"
"CR-Fitchburg","Shirley","4.983967711903415","5.366666666666666"
"CR-Fitchburg","South Acton","6.137108048674355","25.074626865671643"
"CR-Fitchburg","Wachusett","8.21882879818594","9.428571428571429"
"CR-Fitchburg","Waltham","5.34790766191869","14.462686567164178"
"CR-Fitchburg","Waverley","5.219491128781911","4.8"
"CR-Fitchburg","West Concord","5.553945174534457","10.846153846153847"
"CR-Foxboro","Foxboro","10.352516025641027","N/A"
"CR-Franklin","Back Bay","6.729291526262234","48.5735294117647"
"CR-Franklin","Blue Hill Avenue","2.070620791245791","N/A"
"CR-Franklin","Dedham Corporate Center","3.6851578527977185","N/A"
"CR-Franklin","Endicott","4.9029874005103276","8.327868852459016"
"CR-Franklin","Fairmount","2.425263278388279","N/A"
"CR-Franklin","Forest Hills","2.3663957759412297","N/A"
"CR-Franklin","Forge Park/495","9.710289644565957","N/A"
"CR-Franklin","Four Corners/Geneva","2.481928010261344","N/A"
"CR-Franklin","Foxboro","2.9958460307059798","N/A"
"CR-Franklin","Franklin","6.977159118361677","18.396825396825395"
"CR-Franklin","Hyde Park","6.725988485317753","5.375"
