"route","stop_name","average_min_delay"
"CR-Providence","Stoughton","14.516666666666666"
"CR-Providence","TF Green Airport","0"
"CR-Worcester","Auburndale","14.408333333333333"
"CR-Worcester","Back Bay","20.079166666666666"
"CR-Worcester","Boston Landing","26.28666666666667"
"CR-Worcester","Framingham","23.727777777777778"
"CR-Worcester","Grafton","18.891666666666666"
"CR-Worcester","Lansdowne","8.633333333333335"
"CR-Worcester","Natick Center","20.073333333333334"
"CR-Worcester","Newtonville","14.208333333333334"
"CR-Worcester","Southborough","16.756666666666668"
"CR-Worcester","Wellesley Farms","24.344444444444445"
"CR-Worcester","Wellesley Hills","25.144444444444446"
"CR-Worcester","Wellesley Square","23.133333333333333"
"CR-Worcester","West Natick","26.38888888888889"
"CR-Worcester","West Newton","14.358333333333333"
"CR-Worcester","Westborough","16.39"
"CR-Worcester","Worcester","33.422222222222224"
