"year","reliability"
"2016","0.8948275308389094"
"2017","0.8858560976302519"
"2018","0.8877193723020073"
"2019","0.878573932273401"
"2020","0.9336867306065243"
"2021","0.9222504741530003"
"2022","0.918958992705585"
"2023","0.9271534358584604"
