X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.2941730002701,42.2975260003709,655177,WML-0147-02,,Wellesley Square,Wellesley Square - Commuter Rail - Track 2,2,Track 2,42.297526,-71.294173,CR-zone-3,,https://www.mbta.com/stops/place-WML-0147,,0,place-WML-0147,2,Wellesley,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.3471329999557,42.2857190003918,655179,WML-0177,,Natick Center,Natick Center - Commuter Rail,,Commuter Rail,42.285719,-71.347133,CR-zone-4,,https://www.mbta.com/stops/place-WML-0177,,0,place-WML-0177,2,Natick,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.3471329999557,42.2857190003918,655180,WML-0177-01,,Natick Center,Natick Center - Commuter Rail - Track 1,1,Track 1,42.285719,-71.347133,CR-zone-4,,https://www.mbta.com/stops/place-WML-0177,,0,place-WML-0177,2,Natick,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.3471329999557,42.2857190003918,655181,WML-0177-02,,Natick Center,Natick Center - Commuter Rail - Track 2,2,Track 2,42.285719,-71.347133,CR-zone-4,,https://www.mbta.com/stops/place-WML-0177,,0,place-WML-0177,2,Natick,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.3917970005396,42.2830639999152,655183,WML-0199,,West Natick,West Natick - Commuter Rail,,Commuter Rail,42.283064,-71.391797,CR-zone-4,,https://www.mbta.com/stops/place-WML-0199,,0,place-WML-0199,1,Natick,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.3917970005396,42.2830639999152,655184,WML-0199-01,,West Natick,West Natick - Commuter Rail - Track 1,1,Track 1,42.283064,-71.391797,CR-zone-4,,https://www.mbta.com/stops/place-WML-0199,,0,place-WML-0199,1,Natick,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.3917970005396,42.2830639999152,655185,WML-0199-02,,West Natick,West Natick - Commuter Rail - Track 2,2,Track 2,42.283064,-71.391797,CR-zone-4,,https://www.mbta.com/stops/place-WML-0199,,0,place-WML-0199,1,Natick,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.4200549999298,42.276107999782,655187,WML-0214,,Framingham,Framingham - Commuter Rail,,Commuter Rail,42.276108,-71.420055,CR-zone-5,,https://www.mbta.com/stops/place-WML-0214,,0,place-WML-0214,1,Framingham,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.4200549999298,42.276107999782,655188,WML-0214-01,,Framingham,Framingham - Commuter Rail - Track 1,1,Track 1,42.276108,-71.420055,CR-zone-5,,https://www.mbta.com/stops/place-WML-0214,,0,place-WML-0214,1,Framingham,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
-71.4200549999298,42.276107999782,655189,WML-0214-02,,Framingham,Framingham - Commuter Rail - Track 2,2,Track 2,42.276108,-71.420055,CR-zone-5,,https://www.mbta.com/stops/place-WML-0214,,0,place-WML-0214,1,Framingham,,,2,,,,,,,,,DOT_ADMIN,2023/05/30 14:10:22+00,DOT_ADMIN,2023/05/30 14:10:22+00
