service_date,line,estimated_boardings,ObjectId
2020/07/09 04:00:00+00,Kingston,884.5,102
2020/07/09 04:00:00+00,Needham,400,103
2020/07/09 04:00:00+00,Fitchburg,710,104
2020/07/09 04:00:00+00,Greenbush,372,105
2020/07/09 04:00:00+00,Fairmount,339.5,106
2020/07/10 04:00:00+00,Providence/Stoughton,2269.5,107
2020/07/10 04:00:00+00,Newburyport/Rockport,1418.5,108
2020/07/10 04:00:00+00,Framingham/Worcester,544.5,109
2020/07/10 04:00:00+00,Franklin/Foxboro,1325.5,110
2020/07/10 04:00:00+00,Middleborough/Lakeville,944,111
2020/07/10 04:00:00+00,Lowell,950.5,112
2020/07/10 04:00:00+00,Haverhill,693,113
2020/07/10 04:00:00+00,Kingston,796.5,114
2020/07/10 04:00:00+00,Needham,548,115
2020/07/10 04:00:00+00,Fitchburg,543,116
2020/07/10 04:00:00+00,Greenbush,367,117
2020/07/10 04:00:00+00,Fairmount,402,118
2020/07/13 04:00:00+00,Providence/Stoughton,2514.5,119
2020/07/13 04:00:00+00,Newburyport/Rockport,1504,120
2020/07/13 04:00:00+00,Framingham/Worcester,1271.5,121
2020/07/13 04:00:00+00,Franklin/Foxboro,1243,122
2020/07/13 04:00:00+00,Middleborough/Lakeville,826.5,123
2020/07/13 04:00:00+00,Lowell,870.5,124
2020/07/13 04:00:00+00,Haverhill,635,125
2020/07/13 04:00:00+00,Kingston,727,126
2020/07/13 04:00:00+00,Needham,543,127
2020/07/13 04:00:00+00,Fitchburg,534,128
2020/07/13 04:00:00+00,Greenbush,281,129
2020/07/13 04:00:00+00,Fairmount,293.5,130
2020/07/14 04:00:00+00,Providence/Stoughton,2601,131
2020/07/14 04:00:00+00,Newburyport/Rockport,1555,132
2020/07/14 04:00:00+00,Framingham/Worcester,1325,133
2020/07/14 04:00:00+00,Franklin/Foxboro,1299,134
2020/07/14 04:00:00+00,Middleborough/Lakeville,995.5,135
2020/07/14 04:00:00+00,Lowell,931.5,136
2020/07/14 04:00:00+00,Haverhill,747,137
2020/07/14 04:00:00+00,Kingston,786.5,138
2020/07/14 04:00:00+00,Needham,557,139
2020/07/14 04:00:00+00,Fitchburg,573,140
2020/07/14 04:00:00+00,Greenbush,334,141
